wics_name,stock_code,stock_name,per,roe,report_count,total_score,3개월,6개월,9개월,12개월
화학,002810,삼영무역,4.23,10.06,0,70.57,2.3975251353441607,-0.23201856148491878,-1.8561484918793503,-4.176334106728538
문구류,005360,모나미,18.28,-12.24,0,11.33,-8.731466227347612,-10.70840197693575,-27.677100494233937,-32.61943986820428
미분류,217950,파마리서치바이오,,0.0,0,40.27,39.018691588785046,23.364485981308412,58.64485981308412,33.177570093457945
미분류,189350,코셋,,0.0,0,39.77,24.0625,24.375,-6.25,10.8125
미분류,066830,제노텍,,0.0,0,38.76,-15.700737618545837,-23.86722866174921,-26.50158061116965,-15.700737618545837
부동산,123890,한국자산신탁,3.72,5.56,0,69.8,-6.0698027314112295,-8.34597875569044,-11.836115326251896,-15.781487101669194
부동산,210980,SK디앤디,8.54,1.25,0,50.83,-19.450954134583192,-37.93103448275862,-46.83629059256779,-57.48242383662537
부동산,357250,미래에셋맵스리츠,,0.0,0,42.06,11.744386873920552,8.808290155440414,2.072538860103627,-13.989637305699482
자동차,067990,도이치모터스,4.17,1.0,0,62.81,2.766798418972332,-4.940711462450593,-8.893280632411066,-15.118577075098813
자동차,900140,엘브이엠씨홀딩스,,3.55,0,49.04,16.735537190082646,-0.2066115702479339,-9.917355371900827,-32.72727272727273
자동차,005387,현대차2우B,0.0,0.0,0,44.43,27.80487804878049,32.6829268292683,33.00813008130081,31.626016260162604
포장재,005820,원림,5.35,2.98,0,63.59,-1.2813667912439934,-12.760277629471437,-17.77896422851041,-22.744260544580886
포장재,014820,동원시스템즈,12.6,6.33,0,52.09,35.47351524879615,44.62279293739968,62.43980738362761,11.717495987158909
포장재,004250,NPC,7.26,2.92,0,50.12,5.691056910569105,-16.361788617886177,2.4390243902439024,-17.98780487804878
항공사,180640,한진칼,7.31,4.75,0,51.2,-19.298245614035086,-8.771929824561402,12.82051282051282,5.937921727395412
항공사,003495,대한항공우,0.0,0.0,0,42.15,-9.230769230769232,-11.153846153846155,-9.230769230769232,-12.884615384615383
항공사,18064K,한진칼우,0.0,0.0,0,22.84,-12.323943661971832,-17.781690140845072,-12.323943661971832,-16.725352112676056
해운사,028670,팬오션,2.94,5.3,1,63.62,11.006711409395974,-0.2684563758389262,-4.429530201342282,-12.21476510067114
해운사,129260,인터지스,2.39,3.4,0,41.95,-11.900191938579654,-13.62763915547025,-15.163147792706333,-11.708253358925145
해운사,003280,흥아해운,32.77,12.66,0,32.04,-17.37012987012987,-9.090909090909092,-39.02597402597402,-44.35064935064935
핸드셋,192650,드림텍,11.48,0.02,1,67.62,-9.47653429602888,-17.509025270758123,-23.28519855595668,-37.454873646209386
핸드셋,000670,영풍,2.5,-0.23,0,62.5,-24.202921008794018,-41.837446248014565,-25.890055398442648,-21.551156394065003
핸드셋,081580,성우전자,6.15,12.0,0,59.31,5.921052631578947,41.885964912280706,96.9298245614035,27.192982456140353
화장품,002790,아모레퍼시픽홀딩스,39.27,3.64,1,77.02,30.23255813953488,20.54263565891473,-10.271317829457365,-10.65891472868217
화장품,192820,코스맥스,61.86,23.86,2,69.85,21.723834652594547,28.232189973614773,34.740545294635005,37.994722955145114
화장품,161890,한국콜마,0.0,14.69,2,62.49,0.508646998982706,30.213631739572737,37.945066124109864,19.430315361139368
가정용품,053620,태양,8.57,6.0,0,54.86,2.6798307475317347,-4.795486600846263,-11.56558533145275,-12.129760225669958
가정용품,009770,삼정펄프,0.0,15.76,0,48.43,-2.53411306042885,3.1189083820662766,4.483430799220272,-1.1695906432748537
가정용품,110020,전진바이오팜,0.0,36.0,0,44.0,-15.789473684210526,-64.91228070175438,-73.21637426900584,-71.34502923976608
건축자재,000320,노루홀딩스,4.98,6.66,0,64.09,2.941176470588235,11.344537815126051,8.403361344537815,8.15126050420168
건축자재,003300,한일홀딩스,3.97,1.91,0,63.87,11.101474414570685,16.825672159583693,21.335646140503037,20.2081526452732
건축자재,002030,아세아,4.17,2.65,0,57.11,28.779979144942647,32.429614181439,32.429614181439,31.64754953076121
건축제품,018310,삼목에스폼,3.75,2.0,0,61.82,16.975493126120742,15.720263000597729,24.92528392109982,14.763897190675435
건축제품,079000,와토스코리아,6.7,0.0,0,45.8,34.47927199191102,7.17896865520728,15.267947421638016,2.1233569261880687
건축제품,022220,티케이지애강,13.26,-12.0,0,41.66,4.884318766066838,-3.4275921165381322,-12.082262210796916,-20.47986289631534
기타금융,023760,한국캐피탈,2.98,13.0,0,66.25,3.859060402684564,-0.16778523489932887,-6.208053691275168,-11.409395973154362
기타금융,007330,푸른저축은행,5.65,0.0,0,48.74,-3.039832285115304,-8.80503144654088,-7.547169811320755,-14.9895178197065
기타금융,038540,상상인,4.15,-28.0,0,33.46,-7.242339832869081,-22.14484679665738,-55.15320334261838,-59.13649025069638
복합기업,028260,삼성물산,11.93,6.02,4,89.39,-1.7484868863483525,-1.21049092131809,-19.704102219233356,-20.174848688634835
복합기업,004800,효성,82.82,14.35,1,87.53,-7.834652734850146,-13.757004127699455,0.5005084847155477,-10.76591756565435
복합기업,402340,SK스퀘어,29.18,37.82,0,70.45,39.92537313432835,41.6044776119403,56.529850746268664,63.43283582089553
비철금속,032560,황금에스티,3.09,4.77,0,70.08,-7.608695652173914,-19.021739130434785,-28.396739130434785,-33.559782608695656
비철금속,009160,SIMPAC,3.03,3.79,0,68.64,-0.11961722488038277,-11.124401913875598,-3.588516746411483,-6.100478468899522
비철금속,005810,풍산홀딩스,5.02,6.57,0,66.5,24.656951799311972,0.6918943991341656,5.523559197557111,-2.5936376637934364
생물공학,206650,유바이오로직스,0.0,16.0,0,41.37,28.749999999999996,5.384615384615385,52.40384615384615,24.615384615384617
생물공학,007390,네이처셀,0.0,-4.0,0,36.59,16.8944099378882,30.186335403726712,106.21118012422359,125.59006211180123
생물공학,222110,팬젠,0.0,5.0,0,30.55,-7.17628705148206,-33.697347893915754,-22.932917316692667,-25.117004680187204
손해보험,000540,흥국화재,2.04,9.97,0,76.32,-0.9153318077803204,-6.979405034324943,-20.938215102974826,-27.11670480549199
손해보험,211050,인카금융서비스,9.1,40.0,0,53.52,31.896089983931443,22.65666845206213,43.27798607391537,51.04445634708088
손해보험,000815,삼성화재우,0.0,0.0,0,43.56,17.48768472906404,33.004926108374384,32.01970443349754,39.6551724137931
전기장비,267260,HD현대일렉트릭,21.98,41.5,7,72.92,141.43145161290323,177.21774193548387,225.1008064516129,311.7943548387097
전기장비,015860,일진홀딩스,9.9,7.36,0,63.55,10.227272727272728,-0.8838383838383838,0.7575757575757576,-6.691919191919192
전기장비,017510,세명전기,18.72,6.0,0,44.33,68.7725631768953,120.57761732851986,80.50541516245488,114.4404332129964
전기제품,005680,삼영전자,12.05,0.96,1,79.47,-2.191780821917808,-17.899543378995432,-9.771689497716896,-5.296803652968037
전기제품,042110,에스씨디,10.24,5.0,0,51.65,-14.585698070374576,-18.501702610669692,-16.969353007945518,-19.693530079455165
전기제품,217820,원익피앤이,5600.0,1.0,0,42.55,-5.892857142857142,-34.82142857142857,-46.875,-61.875
전문소매,064240,홈캐스트,0.0,0.0,0,30.26,8.51449275362319,3.985507246376811,-4.710144927536232,-25.36231884057971
전문소매,002420,세기상사,0.0,-10.99,0,24.79,26.040061633281976,-12.01848998459168,-8.628659476117104,-21.417565485362093
전문소매,178780,일월지엠엘,0.0,14.0,0,18.7,0.0,0.0,0.0,-29.789473684210527
전자제품,008700,아남전자,12.4,4.51,0,60.53,-16.258351893095767,-35.85746102449889,-44.32071269487751,-46.369710467706014
전자제품,297570,알로이스,8.35,0.0,0,50.67,-12.721088435374151,-26.53061224489796,-30.0,-50.0
전자제품,032540,TJ미디어,17.61,5.0,0,41.57,0.0,-0.3527336860670194,-10.582010582010582,-15.167548500881834
창업투자,241520,DSC인베스트먼트,5.74,15.0,0,55.35,10.486322188449847,-9.878419452887538,-14.437689969604865,-16.717325227963524
창업투자,293580,나우IB,12.03,5.0,0,47.72,-4.627006610009444,5.382436260623229,-8.309726156751653,5.288007554296506
창업투자,246690,TS인베스트먼트,6.13,8.0,0,47.26,0.9463722397476341,-10.646687697160884,-22.239747634069403,-26.18296529968454
통신장비,073540,에프알텍,3.34,4.0,0,46.42,-22.67515923566879,-38.13163481953291,-46.83651804670913,-40.297239915074314
통신장비,900260,로스웰,,5.0,0,42.97,7.829670329670329,2.8846153846153846,-5.769230769230769,-14.560439560439562
통신장비,033240,자화전자,0.0,11.15,0,38.54,-7.8711985688729875,-27.370304114490164,-43.506261180679786,-39.06976744186046
판매업체,051390,YW,10.51,6.0,0,56.37,1.3513513513513513,-1.0810810810810811,2.9729729729729732,-0.40540540540540543
판매업체,019660,글로본,0.0,5.0,0,44.76,1.2305168170631664,-28.958162428219854,-45.5701394585726,-16.611977030352747
판매업체,003580,HLB글로벌,0.0,-9.09,0,40.57,17.90235081374322,0.7233273056057866,-28.3001808318264,-21.880650994575046
교육서비스,067280,멀티캠퍼스,7.01,12.0,0,66.93,-1.536312849162011,-14.385474860335195,-18.994413407821227,-18.575418994413408
교육서비스,072870,메가스터디,6.71,8.0,0,61.83,2.6387625113739763,1.910828025477707,2.0928116469517746,-1.0919017288444042
교육서비스,053290,NE능률,19.49,-6.0,0,45.4,-12.033582089552239,-36.473880597014926,-33.3955223880597,-28.35820895522388
석유와가스,078930,GS,2.2,5.55,1,90.11,-11.468812877263582,-4.426559356136821,-16.398390342052313,-23.440643863179076
석유와가스,006120,SK디스커버리,1.9,4.49,0,69.21,10.097323600973237,-7.907542579075426,-16.666666666666664,-15.328467153284672
석유와가스,012700,리드코프,4.66,3.0,0,62.54,-9.090909090909092,-17.152658662092623,-25.8147512864494,-34.90566037735849
소프트웨어,262840,아이퀘스트,20.36,11.0,0,67.56,3.413793103448276,-29.310344827586203,-31.517241379310345,-23.03448275862069
소프트웨어,078000,텔코웨어,14.71,5.56,0,66.19,2.075098814229249,2.5691699604743086,-1.6798418972332017,-12.25296442687747
소프트웨어,136540,윈스테크넷,8.45,10.0,0,65.16,-3.7721324095458044,0.6928406466512702,-0.8468052347959968,-15.858352578906851
운송인프라,003100,선광,7.89,10.0,0,71.74,-9.242424242424242,-15.05050505050505,-21.161616161616163,-20.454545454545457
운송인프라,045340,토탈소프트,14.43,25.0,0,45.39,20.85201793721973,11.32286995515695,24.43946188340807,56.05381165919282
운송인프라,038620,위즈코프,17.11,5.0,0,38.59,-1.2987012987012987,-12.467532467532468,-21.948051948051948,9.61038961038961
자동차부품,005850,에스엘,10.04,12.81,1,83.62,-0.5925925925925926,7.851851851851851,-4.592592592592593,-9.037037037037036
자동차부품,036530,SNT홀딩스,5.65,9.94,0,72.11,12.686567164179104,12.686567164179104,12.935323383084576,31.343283582089555
자동차부품,007860,서연,2.71,6.59,0,71.09,13.730255164034022,-4.131227217496963,-13.608748481166463,-19.562575941676794
종이와목재,213500,한솔제지,3.52,0.56,1,86.11,0.09140767824497258,-8.043875685557587,-16.179159049360145,-23.308957952468006
종이와목재,034810,해성산업,8.36,-3.0,0,52.32,-3.8605230386052307,-7.0983810709838115,-17.31008717310087,-28.6425902864259
종이와목재,027970,한국제지,27.41,-7.89,0,43.91,-1.216089803554724,4.770813844714686,-11.599625818521982,-23.199251637043965
가스유틸리티,003480,한진중공업홀딩스,5.73,14.18,0,67.38,6.976744186046512,8.527131782945736,6.2015503875969,7.751937984496124
가스유틸리티,034590,인천도시가스,8.56,8.85,0,59.81,0.1976284584980237,0.9881422924901186,0.592885375494071,-4.150197628458498
가스유틸리티,017390,서울가스,13.31,2.8,0,50.82,-6.105610561056106,-8.58085808580858,-13.366336633663368,-20.049504950495052
건강관리기술,032620,유비케어,70.42,31.0,0,77.15,-4.8,-13.600000000000001,-9.2,-34.1
건강관리기술,071200,인피니트헬스케어,1064.0,15.0,0,67.73,-1.6917293233082706,-13.25187969924812,-19.642857142857142,-22.932330827067666
건강관리기술,035610,솔본,0.0,10.0,0,49.84,2.0719738276990185,-13.413304252998909,-13.958560523446021,-11.668484187568156
전기유틸리티,130660,한전산업,14.89,3.71,0,35.64,4.8452220726783315,95.15477792732166,70.92866756393002,56.93135935397039
도로와철도운송,024800,유성티엔에스,1.28,11.0,0,71.5,-12.083333333333334,-13.958333333333334,-18.25,-22.458333333333332
도로와철도운송,084670,동양고속,0.0,5.63,0,45.05,-6.666666666666667,-22.601626016260163,-32.84552845528455,-41.951219512195124
도로와철도운송,000650,천일고속,0.0,-25.32,0,40.06,-16.117216117216117,-17.582417582417584,-27.106227106227106,-29.395604395604398
디스플레이패널,121800,비덴트,0.0,1.0,0,11.05,0.0,0.0,0.0,0.0
무선통신서비스,006490,인스코비,0.0,-85.56,0,23.75,-13.523131672597867,-30.462633451957295,8.398576512455517,5.05338078291815
사무용전자제품,029530,신도리코,7.45,1.88,0,49.76,-0.2680965147453083,-0.5361930294906166,12.064343163538874,1.876675603217158
우주항공과국방,327260,RF머트리얼즈,23.82,15.0,0,55.79,-7.252298263534218,-10.827374872318693,-32.17568947906027,-42.59448416751788
우주항공과국방,035460,기산텔레콤,11.63,8.0,0,52.33,-0.6172839506172839,-20.411522633744855,-27.48971193415638,-27.325102880658434
우주항공과국방,010820,퍼스텍,87.97,17.33,0,28.57,4.45468509984639,-3.3794162826420893,-2.457757296466974,-7.680491551459294
전자장비와기기,011070,LG이노텍,4.66,6.14,9,81.75,15.863141524105753,25.972006220839816,-9.79782270606532,-27.47537584240539
전자장비와기기,007810,코리아써키트,6.8,11.54,0,62.7,-5.34037558685446,-28.169014084507044,-42.42957746478873,-45.89201877934273
전자장비와기기,094840,슈프리마에이치큐,6.3,6.0,0,61.6,-18.40855106888361,-24.46555819477435,-31.947743467933492,-28.859857482185276
가정용기기와용품,021240,코웨이,8.87,18.14,2,77.62,1.7857142857142856,8.392857142857142,11.964285714285715,33.39285714285714
가정용기기와용품,284740,쿠쿠홈시스,4.02,11.7,0,59.5,14.355231143552311,4.622871046228711,7.785888077858881,-6.618004866180048
가정용기기와용품,009450,경동나비엔,13.12,12.24,0,53.79,12.64131551901336,16.135662898252825,77.80061664953752,63.82322713257965
게임엔터테인먼트,047080,한빛소프트,35.37,36.0,0,71.93,-33.689655172413794,-52.172413793103445,-52.44827586206896,-55.62068965517242
게임엔터테인먼트,052790,액토즈소프트,37.8,13.0,0,63.07,7.753705815279361,-9.578107183580387,-26.795895096921324,-24.857468643101484
게임엔터테인먼트,348030,모비릭스,14.77,-21.0,0,61.21,-13.448275862068964,-42.06896551724138,-37.24137931034483,-43.333333333333336
레저용장비와제품,121440,골프존홀딩스,1.98,3.0,0,69.97,-4.714640198511166,-10.421836228287841,-6.079404466501241,-15.88089330024814
레저용장비와제품,088390,이녹스,13.86,13.0,0,49.77,-12.914798206278027,-26.726457399103136,-52.82511210762332,-63.139013452914796
레저용장비와제품,002450,삼익악기,5.59,6.36,0,47.23,23.86910490856593,4.8123195380173245,2.5024061597690084,17.035611164581326
백화점과일반상점,067830,세이브존I&C,10.99,2.64,0,67.65,-11.610486891385769,-17.228464419475657,-22.09737827715356,-24.344569288389515
백화점과일반상점,006370,대구백화점,0.0,-21.44,0,27.69,-34.134134134134136,-33.033033033033036,-31.431431431431434,-27.027027027027028
백화점과일반상점,008775,호텔신라우,0.0,0.0,0,23.38,-5.285868392664509,-14.023732470334412,-20.496224379719525,-36.56957928802589
컴퓨터와주변기기,049480,오픈베이스,13.77,9.0,0,58.84,-3.041825095057034,-8.745247148288973,-14.44866920152091,-1.7110266159695817
컴퓨터와주변기기,043360,디지아이,38.44,-5.0,0,52.67,-21.62162162162162,-25.0,-23.986486486486484,-36.99324324324324
컴퓨터와주변기기,049550,잉크테크,18.76,3.0,0,44.32,-2.3746701846965697,4.749340369393139,1.978891820580475,-5.277044854881266
건강관리장비와용품,115480,씨유메디칼,3.91,1.0,0,54.44,-7.477820025348543,-10.139416983523446,-7.984790874524715,-18.88466413181242
건강관리장비와용품,137310,에스디바이오센서,1.18,-19.5,0,51.41,-1.2241054613935969,-4.8964218455743875,-16.47834274952919,10.922787193973635
건강관리장비와용품,004080,신흥,15.87,2.44,0,50.8,2.797202797202797,-0.7692307692307693,0.0,0.6993006993006993
무역회사와판매업체,011760,현대코퍼레이션,2.88,12.91,2,88.81,-6.097560975609756,7.900318133616119,6.574761399787911,-0.2651113467656416
무역회사와판매업체,383800,LX홀딩스,3.41,7.01,0,68.91,-6.970509383378016,-4.1554959785522785,-3.6193029490616624,-10.187667560321715
무역회사와판매업체,047050,포스코인터내셔널,11.19,9.27,5,68.6,-13.644859813084112,-1.1214953271028036,-5.794392523364486,-22.523364485981308
반도체와반도체장비,101490,에스앤에스텍,50.0,21.0,1,81.86,2.1479713603818613,-32.4582338902148,-44.868735083532215,-34.48687350835322
반도체와반도체장비,042700,한미반도체,61.13,34.76,2,69.67,131.70731707317074,101.04529616724737,61.672473867595826,84.66898954703834
반도체와반도체장비,030530,원익홀딩스,2.57,3.0,0,67.58,4.810495626822157,-10.058309037900875,-15.597667638483964,-23.760932944606413
방송과엔터테인먼트,034120,SBS,2.81,0.73,3,56.41,-4.742268041237113,-31.876288659793815,-37.1958762886598,-17.56701030927835
방송과엔터테인먼트,052220,iMBC,44.18,-9.0,0,51.8,-3.875968992248062,-7.596899224806202,-21.085271317829456,5.426356589147287
방송과엔터테인먼트,037270,YG PLUS,22.27,12.69,0,50.52,-1.1042944785276074,-25.153374233128833,34.7239263803681,-3.067484662576687
상업서비스와공급품,012750,에스원,12.74,10.45,2,76.43,5.799648506151142,-0.7029876977152899,13.005272407732866,2.8119507908611596
상업서비스와공급품,094280,효성ITX,9.82,21.21,0,62.34,3.2467532467532463,4.788961038961039,1.7857142857142856,-3.8149350649350646
상업서비스와공급품,030190,NICE평가정보,11.33,17.65,0,58.85,8.108108108108109,2.1021021021021022,14.514514514514515,22.12212212212212
에너지장비및서비스,100090,SK오션플랜트,29.27,4.96,2,74.7,-13.689700130378096,-17.666232073011734,-14.732724902216427,-20.795306388526726
에너지장비및서비스,005090,SGC에너지,2.99,-8.42,2,61.74,0.4132231404958678,10.12396694214876,9.50413223140496,-4.338842975206612
에너지장비및서비스,099220,SDN,83.36,-2.0,0,24.31,48.75749785775493,30.248500428449017,3.941730934018852,-2.570694087403599
항공화물운송과물류,000120,CJ대한통운,16.78,5.98,3,71.23,-12.22707423580786,-27.438136826783115,-35.662299854439595,-42.867540029112085
항공화물운송과물류,004360,세방,2.7,5.61,0,65.65,-7.153846153846153,4.3076923076923075,-7.846153846153846,-13.538461538461538
항공화물운송과물류,004365,세방우,0.0,0.0,0,39.63,6.713286713286713,6.293706293706294,9.51048951048951,5.874125874125874
건강관리업체및서비스,318010,팜스빌,14.02,5.0,0,56.11,-9.228650137741047,-16.391184573002754,-29.614325068870524,-51.652892561983464
건강관리업체및서비스,263700,케어랩스,0.0,33.0,0,55.39,-12.030905077262693,-20.52980132450331,-34.32671081677704,-49.22737306843267
건강관리업체및서비스,214370,케어젠,38.85,9.0,0,53.16,2.7777777777777777,-5.092592592592593,-24.305555555555554,36.342592592592595
디스플레이장비및부품,239890,피엔에이치테크,22.47,7.0,1,67.24,-8.933405522468869,-31.94369247428262,-59.7184623714131,-60.47644829453167
디스플레이장비및부품,068790,DMS,5.98,35.0,0,58.54,0.31746031746031744,-13.968253968253968,-13.333333333333334,-4.603174603174604
디스플레이장비및부품,096870,엘디티,9.97,-2.0,0,48.4,7.876712328767123,-5.650684931506849,-20.034246575342465,-9.931506849315069
생명과학도구및서비스,096530,씨젠,7.22,5.0,0,66.48,-14.478764478764477,-11.96911196911197,-11.196911196911197,-10.617760617760617
생명과학도구및서비스,238120,얼라인드,25.0,8.0,0,49.18,10.123456790123457,-13.086419753086421,-25.679012345679013,-20.98765432098765
생명과학도구및서비스,131220,대한과학,9.35,8.0,0,46.39,-4.071661237785016,-14.495114006514658,-21.661237785016286,-25.0814332247557
식품과기본식료품소매,227840,현대코퍼레이션홀딩스,2.89,11.89,0,66.09,1.4545454545454546,-0.9090909090909091,-3.8181818181818183,-7.2727272727272725
식품과기본식료품소매,311390,네오크레마,0.0,4.0,0,33.95,1.2718600953895072,-2.384737678855326,16.69316375198728,3.815580286168521
식품과기본식료품소매,250000,보라티알,4.1,0.0,0,31.21,2.3041474654377883,-1.566820276497696,-11.244239631336406,-10.599078341013826
양방향미디어와서비스,207760,미스터블루,57.62,-37.0,0,54.7,9.297520661157025,-34.586776859504134,-44.17355371900826,-56.19834710743802
양방향미디어와서비스,214270,FSN,0.0,-31.0,0,39.21,-29.583975346687215,-38.983050847457626,-31.124807395993837,-46.19414483821264
양방향미디어와서비스,317530,캐리소프트,0.0,-36.0,0,5.76,-0.8705114254624592,-31.556039173014145,-4.896626768226333,4.896626768226333
인터넷과카탈로그소매,053280,예스24,88.6,-6.0,0,41.86,-8.514851485148515,3.564356435643564,12.277227722772277,-14.554455445544553
인터넷과카탈로그소매,069920,엑시온그룹,0.0,0.0,0,37.26,-41.27906976744186,-31.976744186046513,-63.575581395348834,-75.37790697674419
인터넷과카탈로그소매,035080,그래디언트,0.63,-8.0,0,34.52,18.782098312545855,-7.997065297138664,-14.820249449743214,-15.994130594277328
"호텔,레스토랑,레저",035250,강원랜드,27.25,8.11,1,72.76,-1.4810045074050224,-6.761107533805538,13.586606567933032,4.958145524790727
"호텔,레스토랑,레저",114090,GKL,0.0,11.01,1,63.16,10.266457680250783,-6.269592476489027,-10.658307210031348,-9.561128526645767
"호텔,레스토랑,레저",034230,파라다이스,43.68,5.62,0,52.88,19.102861562258315,-8.662026295436968,-19.02552204176334,-24.74864655839134
"섬유,의류,신발,호화품",009970,영원무역홀딩스,2.27,12.83,1,91.41,-0.46403712296983757,-6.844547563805105,0.9280742459396751,-7.076566125290023
"섬유,의류,신발,호화품",000950,전방,0.41,13.99,0,74.07,-17.248459958932237,-17.864476386036962,-21.149897330595483,-26.07802874743326
"섬유,의류,신발,호화품",007700,F&F홀딩스,5.71,5.56,0,67.44,-20.74495602690119,-26.797723745473355,-30.160372478013453,-39.782721158820486
IT서비스,034310,NICE,13.7,4.98,0,66.8,-11.255411255411255,-23.953823953823957,-19.11976911976912,-24.025974025974026
IT서비스,267850,아시아나IDT,26.1,7.06,0,66.59,-19.306930693069308,-21.237623762376238,-11.83168316831683,-43.71287128712871
IT서비스,115310,인포바인,8.09,7.0,0,63.19,-5.506607929515418,-11.894273127753303,-12.202643171806168,44.713656387665196
