테마명,종목명,시장구분,종목코드
2차전지 장비,우신시스템,KOSPI,017370
2차전지 장비,티에스아이,KOSDAQ,277880
2차전지 장비,지아이텍,KOSDAQ,382480
2차전지 장비,대보마그네틱,KOSDAQ,290670
2차전지 장비,브이원텍,KOSDAQ,251630
2차전지 장비,티이엠씨씨엔에스,KOSDAQ,241790
2차전지 장비,이노메트리,KOSDAQ,302430
2차전지 장비,엔시스,KOSDAQ,333620
2차전지 장비,탑엔지니어링,KOSDAQ,065130
2차전지 장비,파인텍,KOSDAQ,131760
2차전지 장비,자비스,KOSDAQ,254120
2차전지 장비,에이치와이티씨,KOSDAQ,148930
2차전지 장비,웰크론한텍,KOSDAQ,076080
2차전지 장비,넥스트아이,KOSDAQ,137940
2차전지(소재부품),고려아연,KOSPI,010130
2차전지(소재부품),포스코퓨처엠,KOSPI,003670
2차전지(소재부품),에코프로,KOSDAQ,086520
2차전지(소재부품),에코프로비엠,KOSDAQ,247540
2차전지(소재부품),엘앤에프,KOSPI,066970
2차전지(소재부품),에코프로머티,KOSPI,450080
2차전지(소재부품),SKC,KOSPI,011790
2차전지(소재부품),솔브레인,KOSDAQ,357780
2차전지(소재부품),한솔케미칼,KOSPI,014680
2차전지(소재부품),롯데에너지머티리얼즈,KOSPI,020150
2차전지(소재부품),서진시스템,KOSDAQ,178320
2차전지(소재부품),대주전자재료,KOSDAQ,078600
2차전지(소재부품),비츠로셀,KOSDAQ,082920
2차전지(소재부품),SK아이이테크놀로지,KOSPI,361610
2차전지(소재부품),코스모신소재,KOSPI,005070
2차전지(소재부품),신성델타테크,KOSDAQ,065350
2차전지(소재부품),후성,KOSPI,093370
2차전지(소재부품),솔브레인홀딩스,KOSDAQ,036830
2차전지(소재부품),솔루스첨단소재,KOSPI,336370
2차전지(소재부품),삼아알미늄,KOSPI,006110
2차전지(소재부품),나노신소재,KOSDAQ,121600
2차전지(소재부품),엔켐,KOSDAQ,348370
2차전지(소재부품),대한유화,KOSPI,006650
2차전지(소재부품),동원시스템즈,KOSPI,014820
2차전지(소재부품),천보,KOSDAQ,278280
2차전지(소재부품),애경케미칼,KOSPI,161000
2차전지(소재부품),PI첨단소재,KOSPI,178920
2차전지(소재부품),성우하이텍,KOSDAQ,015750
2차전지(소재부품),이녹스첨단소재,KOSDAQ,272290
2차전지(소재부품),코스모화학,KOSPI,005420
2차전지(소재부품),DI동일,KOSPI,001530
2차전지(소재부품),엠케이전자,KOSDAQ,033160
2차전지(소재부품),율촌화학,KOSPI,008730
2차전지(소재부품),알멕,KOSDAQ,354320
2차전지(소재부품),더블유씨피,KOSDAQ,393890
2차전지(소재부품),동화기업,KOSDAQ,025900
2차전지(소재부품),TCC스틸,KOSPI,002710
2차전지(소재부품),상아프론테크,KOSDAQ,089980
2차전지(소재부품),KG케미칼,KOSPI,001390
2차전지(소재부품),아이티엠반도체,KOSDAQ,084850
2차전지(소재부품),신흥에스이씨,KOSDAQ,243840
2차전지(소재부품),강원에너지,KOSDAQ,114190
2차전지(소재부품),한농화성,KOSPI,011500
2차전지(소재부품),에코앤드림,KOSDAQ,101360
2차전지(소재부품),신성에스티,KOSDAQ,416180
2차전지(소재부품),상신이디피,KOSDAQ,091580
2차전지(소재부품),이랜텍,KOSDAQ,054210
2차전지(소재부품),알루코,KOSPI,001780
2차전지(소재부품),나노팀,KOSDAQ,417010
2차전지(소재부품),조일알미늄,KOSPI,018470
2차전지(소재부품),켐트로스,KOSDAQ,220260
2차전지(소재부품),파워로직스,KOSDAQ,047310
2차전지(소재부품),메가터치,KOSDAQ,446540
2차전지(소재부품),이녹스,KOSDAQ,088390
2차전지(소재부품),광무,KOSDAQ,029480
2차전지(소재부품),영화테크,KOSDAQ,265560
2차전지(소재부품),삼기에너지솔루션즈,KOSDAQ,419050
2차전지(소재부품),황금에스티,KOSPI,032560
2차전지(소재부품),테이팩스,KOSPI,055490
2차전지(소재부품),서원인텍,KOSDAQ,093920
2차전지(소재부품),쎄노텍,KOSDAQ,222420
2차전지(소재부품),조광페인트,KOSPI,004910
2차전지(소재부품),나라엠앤디,KOSDAQ,051490
2차전지(소재부품),알엔투테크놀로지,KOSDAQ,148250
2차전지(소재부품),유에스티,KOSDAQ,263770
2차전지(소재부품),동국알앤에스,KOSDAQ,075970
2차전지(소재부품),글로벌에스엠,KOSDAQ,900070
2차전지(소재부품),삼진엘앤디,KOSDAQ,054090
2차전지(소재부품),에이에프더블류,KOSDAQ,312610
2차전지(소재부품),유진테크놀로지,KOSDAQ,240600
